"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000206503",8225.00159124577,-0.195332356340605,0.169724028052011,0.141762862634343,0.366073560758436,"HLA-A","3105"
"ENSG00000178187",15.189669681078,-0.209435059654557,0.29332267011815,0.141785054877577,0.366073560758436,"ZNF454","285676"
"ENSG00000103642",471.616716816699,0.222764023376603,0.231643830440565,0.141905840946785,0.366326711022857,"LACTB","114294"
"ENSG00000006534",1144.32086123677,0.222977694314995,0.243267026961645,0.142023893458566,0.366560169770186,"ALDH3B1","221"
"ENSG00000159202",3020.32046030979,0.0876215921189833,0.0614085008158871,0.142041781383854,0.366560169770186,"UBE2Z","65264"
"ENSG00000138138",1034.33131066324,0.126779236521962,0.0925516918682573,0.142123753433709,0.366712971103538,"ATAD1","84896"
"ENSG00000261064",52.6111237316033,-0.218042502540162,0.217378926780675,0.142190257409683,0.3668232093514,"LINC02256","100996255"
"ENSG00000141002",2091.92696178357,-0.0983550504691592,0.0696843553745986,0.142232577420371,0.3668232093514,"TCF25","22980"
"ENSG00000165832",362.530560442888,-0.151270750884565,0.115369278908293,0.142234782994116,0.3668232093514,"TRUB1","142940"
"ENSG00000197362",76.0571993888264,-0.210759520143206,0.196498385155479,0.142348938472105,0.367058858470565,"ZNF786","136051"
"ENSG00000159899",1450.6042178302,0.165950506857039,0.130198595956652,0.14239644022218,0.367122587361105,"NPR2","4882"
"ENSG00000166311",3433.56377300303,-0.120486672299232,0.08759410580781,0.142486019993787,0.367294762899185,"SMPD1","6609"
"ENSG00000107902",231.597005756663,-0.206655823526495,0.189083390555012,0.142537893292906,0.367369700662614,"LHPP","64077"
"ENSG00000095787",2418.36265860888,0.111169672370697,0.0803892076924752,0.142586316724767,0.367435724368637,"WAC","51322"
"ENSG00000162595",62.0871022915514,-0.127598177909928,0.289330162757628,0.142662957609733,0.367536263994334,"DIRAS3","9077"
"ENSG00000108106",259.269487737877,0.177349069184591,0.14238909488775,0.142670957421673,0.367536263994334,"UBE2S","27338"
"ENSG00000171806",65.0477385171592,-0.212678472138976,0.203448585772194,0.142698113626755,0.367547451421367,"METTL18","92342"
"ENSG00000172375",151.64713429087,0.203438853702871,0.182910702243187,0.142729035787077,0.367558283227879,"C2CD2L","9854"
"ENSG00000111877",153.304087037435,-0.189207485486562,0.159788996649283,0.14274794725075,0.367558283227879,"MCM9","254394"
